date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-10-02,RJ,Angra dos Reis,city,17161,540,True,207044,3300100,8288.57634,0.0315
2021-10-02,RJ,Aperibé,city,1233,31,True,11901,3300159,10360.47391,0.0251
2021-10-02,RJ,Araruama,city,7378,484,True,134293,3300209,5493.95724,0.0656
2021-10-02,RJ,Areal,city,1656,51,True,12669,3300225,13071.27634,0.0308
2021-10-02,RJ,Armação dos Búzios,city,5682,73,True,34477,3300233,16480.55225,0.0128
2021-10-02,RJ,Arraial do Cabo,city,921,44,True,30593,3300258,3010.4926,0.0478
2021-10-02,RJ,Barra do Piraí,city,7539,390,True,100764,3300308,7481.83875,0.0517
2021-10-02,RJ,Barra Mansa,city,30947,665,True,184833,3300407,16743.22226,0.0215
2021-10-02,RJ,Belford Roxo,city,23778,917,True,513118,3300456,4634.0218,0.0386
2021-10-02,RJ,Bom Jardim,city,2023,51,True,27616,3300506,7325.4635,0.0252
2021-10-02,RJ,Bom Jesus do Itabapoana,city,4369,108,True,37203,3300605,11743.67659,0.0247
2021-10-02,RJ,Cabo Frio,city,17506,854,True,230378,3300704,7598.81586,0.0488
2021-10-02,RJ,Cachoeiras de Macacu,city,3465,109,True,59303,3300803,5842.87473,0.0315
2021-10-02,RJ,Cambuci,city,1647,40,True,15514,3300902,10616.21761,0.0243
2021-10-02,RJ,Campos dos Goytacazes,city,37667,1907,True,511168,3301009,7368.81025,0.0506
2021-10-02,RJ,Cantagalo,city,3806,29,True,20168,3301108,18871.47957,0.0076
2021-10-02,RJ,Carapebus,city,1767,16,True,16586,3300936,10653.56325,0.0091
2021-10-02,RJ,Cardoso Moreira,city,1438,17,True,12821,3301157,11215.97379,0.0118
2021-10-02,RJ,Carmo,city,2695,50,True,19030,3301207,14161.84971,0.0186
2021-10-02,RJ,Casimiro de Abreu,city,4860,148,True,45041,3301306,10790.16896,0.0305
2021-10-02,RJ,Comendador Levy Gasparian,city,821,32,True,8576,3300951,9573.22761,0.039
2021-10-02,RJ,Conceição de Macabu,city,2142,78,True,23398,3301405,9154.6286,0.0364
2021-10-02,RJ,Cordeiro,city,4059,22,True,22041,3301504,18415.67987,0.0054
2021-10-02,RJ,Duas Barras,city,245,7,True,11528,3301603,2125.26024,0.0286
2021-10-02,RJ,Duque de Caxias,city,25929,1702,True,924624,3301702,2804.27504,0.0656
2021-10-02,RJ,Engenheiro Paulo de Frontin,city,1669,66,True,14071,3301801,11861.27496,0.0395
2021-10-02,RJ,Guapimirim,city,5202,190,True,61388,3301850,8473.96885,0.0365
2021-10-02,RJ,Iguaba Grande,city,5181,141,True,28837,3301876,17966.50137,0.0272
2021-10-02,RJ,Importados/Indefinidos,city,0,0,True,,,,0.0
2021-10-02,RJ,Itaboraí,city,15573,834,True,242543,3301900,6420.71715,0.0536
2021-10-02,RJ,Itaguaí,city,12684,398,True,134819,3302007,9408.16947,0.0314
2021-10-02,RJ,Italva,city,633,31,True,15299,3302056,4137.52533,0.049
2021-10-02,RJ,Itaocara,city,2929,81,True,23222,3302106,12613.03936,0.0277
2021-10-02,RJ,Itaperuna,city,15429,268,True,103800,3302205,14864.16185,0.0174
2021-10-02,RJ,Itatiaia,city,2622,71,True,32064,3302254,8177.39521,0.0271
2021-10-02,RJ,Japeri,city,1235,142,True,105548,3302270,1170.08375,0.115
2021-10-02,RJ,Laje do Muriaé,city,644,14,True,7326,3302304,8790.60879,0.0217
2021-10-02,RJ,Macaé,city,37619,763,True,261501,3302403,14385.79585,0.0203
2021-10-02,RJ,Macuco,city,1121,12,True,5623,3302452,19935.97724,0.0107
2021-10-02,RJ,Magé,city,15107,640,True,246433,3302502,6130.26664,0.0424
2021-10-02,RJ,Mangaratiba,city,3465,161,True,45220,3302601,7662.5387,0.0465
2021-10-02,RJ,Maricá,city,12712,640,True,164504,3302700,7727.47167,0.0503
2021-10-02,RJ,Mendes,city,4092,60,True,18648,3302809,21943.37194,0.0147
2021-10-02,RJ,Mesquita,city,4247,490,True,176569,3302858,2405.29198,0.1154
2021-10-02,RJ,Miguel Pereira,city,3648,77,True,25581,3302908,14260.58403,0.0211
2021-10-02,RJ,Miracema,city,2946,143,True,27154,3303005,10849.23032,0.0485
2021-10-02,RJ,Natividade,city,1195,28,True,15311,3303104,7804.84619,0.0234
2021-10-02,RJ,Nilópolis,city,4531,561,True,162693,3303203,2784.99997,0.1238
2021-10-02,RJ,Niterói,city,56023,2369,True,515317,3303302,10871.56061,0.0423
2021-10-02,RJ,Nova Friburgo,city,25094,852,True,191158,3303401,13127.36061,0.034
2021-10-02,RJ,Nova Iguaçu,city,25841,2058,True,823302,3303500,3138.70244,0.0796
2021-10-02,RJ,Paracambi,city,3761,133,True,52683,3303609,7138.92527,0.0354
2021-10-02,RJ,Paraíba do Sul,city,5347,170,True,44518,3303708,12010.87201,0.0318
2021-10-02,RJ,Paraty,city,3681,88,True,43680,3303807,8427.1978,0.0239
2021-10-02,RJ,Paty do Alferes,city,3200,98,True,27858,3303856,11486.82605,0.0306
2021-10-02,RJ,Petrópolis,city,20933,1488,True,306678,3303906,6825.72601,0.0711
2021-10-02,RJ,Pinheiral,city,3258,77,True,25364,3303955,12844.97713,0.0236
2021-10-02,RJ,Piraí,city,4502,104,True,29545,3304003,15237.77289,0.0231
2021-10-02,RJ,Porciúncula,city,2614,90,True,18960,3304102,13786.91983,0.0344
2021-10-02,RJ,Porto Real,city,2118,41,True,19974,3304110,10603.78492,0.0194
2021-10-02,RJ,Quatis,city,1082,29,True,14435,3304128,7495.67025,0.0268
2021-10-02,RJ,Queimados,city,6889,227,True,151335,3304144,4552.15251,0.033
2021-10-02,RJ,Quissamã,city,3458,78,True,25126,3304151,13762.63631,0.0226
2021-10-02,RJ,Resende,city,16542,505,True,132312,3304201,12502.26737,0.0305
2021-10-02,RJ,Rio Bonito,city,11058,241,True,60573,3304300,18255.65846,0.0218
2021-10-02,RJ,Rio Claro,city,1589,65,True,18605,3304409,8540.71486,0.0409
2021-10-02,RJ,Rio das Flores,city,533,17,True,9344,3304508,5704.19521,0.0319
2021-10-02,RJ,Rio das Ostras,city,17072,502,True,155193,3304524,11000.49616,0.0294
2021-10-02,RJ,Rio de Janeiro,city,484433,34102,True,6747815,3304557,7179.10909,0.0704
2021-10-02,RJ,Santa Maria Madalena,city,274,11,True,10392,3304607,2636.64357,0.0401
2021-10-02,RJ,Santo Antônio de Pádua,city,7391,157,True,42594,3304706,17352.20923,0.0212
2021-10-02,RJ,São Fidélis,city,615,98,True,38710,3304805,1588.73676,0.1593
2021-10-02,RJ,São Francisco de Itabapoana,city,2474,102,True,42210,3304755,5861.17034,0.0412
2021-10-02,RJ,São Gonçalo,city,69414,3170,True,1091737,3304904,6358.12471,0.0457
2021-10-02,RJ,São João da Barra,city,5060,22,True,36423,3305000,13892.32079,0.0043
2021-10-02,RJ,São João de Meriti,city,16336,1307,True,472906,3305109,3454.38628,0.08
2021-10-02,RJ,São José de Ubá,city,1092,8,True,7206,3305133,15154.0383,0.0073
2021-10-02,RJ,São José do Vale do Rio Preto,city,2269,75,True,21916,3305158,10353.16664,0.0331
2021-10-02,RJ,São Pedro da Aldeia,city,5684,325,True,106049,3305208,5359.78651,0.0572
2021-10-02,RJ,São Sebastião do Alto,city,769,29,True,9387,3305307,8192.18068,0.0377
2021-10-02,RJ,Sapucaia,city,3201,118,True,18249,3305406,17540.68716,0.0369
2021-10-02,RJ,Saquarema,city,3720,312,True,90583,3305505,4106.73084,0.0839
2021-10-02,RJ,Seropédica,city,3313,203,True,83092,3305554,3987.14678,0.0613
2021-10-02,RJ,Silva Jardim,city,2915,31,True,21774,3305604,13387.52641,0.0106
2021-10-02,RJ,Sumidouro,city,2314,56,True,15667,3305703,14769.89851,0.0242
2021-10-02,RJ,Tanguá,city,4463,130,True,34610,3305752,12895.11702,0.0291
2021-10-02,RJ,Teresópolis,city,32560,904,True,184240,3305802,17672.60096,0.0278
2021-10-02,RJ,Trajano de Moraes,city,919,5,True,10640,3305901,8637.21805,0.0054
2021-10-02,RJ,Três Rios,city,10758,274,True,82142,3306008,13096.83231,0.0255
2021-10-02,RJ,Valença,city,5762,204,True,76869,3306107,7495.8696,0.0354
2021-10-02,RJ,Varre-Sai,city,2859,7,True,11106,3306156,25742.84171,0.0024
2021-10-02,RJ,Vassouras,city,3097,135,True,37083,3306206,8351.53574,0.0436
2021-10-02,RJ,Volta Redonda,city,38134,1229,True,273988,3306305,13918.1278,0.0322
